AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4169.615234375,4154.1025390625,4159.2309570312,4153.8461914062,4164.615234375,4161.6665039062,4162.9487304688,4162.3076171875,4164.7436523438,4166.2822265625,4161.41015625,4165.6411132812,4161.6665039062,4181.9228515625
4172.3076171875,4154.8715820312,4164.2309570312,4150.6411132812,4162.1796875,4158.205078125,4162.0512695312,4163.0771484375,4164.4873046875,4164.7436523438,4166.41015625,4171.1538085938,4168.58984375,4187.4360351562
4168.9741210938,4157.3076171875,4164.8715820312,4147.8203125,4161.5385742188,4160.7690429688,4165.8974609375,4164.7436523438,4162.6923828125,4164.7436523438,4172.5639648438,4175.8974609375,4172.4360351562,4186.9228515625
4153.4614257812,4148.9741210938,4149.2309570312,4140.8974609375,4161.9228515625,4159.7436523438,4162.1796875,4163.58984375,4162.1796875,4163.3334960938,4161.9228515625,4164.615234375,4158.4614257812,4176.5385742188
4136.794921875,4139.615234375,4142.8203125,4131.41015625,4161.6665039062,4158.58984375,4158.3334960938,4163.0771484375,4163.4614257812,4165.384765625,4150.6411132812,4151.9228515625,4148.7177734375,4167.5639648438
4137.3076171875,4137.3076171875,4148.58984375,4129.2309570312,4161.5385742188,4163.205078125,4162.6923828125,4165.2563476562,4163.9741210938,4166.9228515625,4153.205078125,4146.794921875,4152.0512695312,4163.7177734375
4140.1284179688,4136.5385742188,4142.8203125,4133.9741210938,4159.7436523438,4163.4614257812,4160.8974609375,4165.384765625,4163.3334960938,4165.7690429688,4155.7690429688,4143.0771484375,4152.4360351562,4161.9228515625
4136.2822265625,4133.8461914062,4138.3334960938,4130.1284179688,4162.0512695312,4162.4360351562,4159.7436523438,4164.8715820312,4165.8974609375,4164.8715820312,4152.6923828125,4139.8715820312,4149.1025390625,4160.5126953125
4135.1284179688,4133.4614257812,4143.205078125,4123.9741210938,4162.9487304688,4163.4614257812,4162.1796875,4162.6923828125,4167.5639648438,4165.0,4154.2309570312,4138.7177734375,4149.1025390625,4157.4360351562
4136.794921875,4135.384765625,4149.1025390625,4131.41015625,4162.3076171875,4164.7436523438,4163.9741210938,4162.5639648438,4164.3588867188,4166.0258789062,4158.7177734375,4138.4614257812,4151.794921875,4151.6665039062
4141.2822265625,4140.7690429688,4148.0771484375,4143.8461914062,4164.2309570312,4163.9741210938,4164.8715820312,4166.6665039062,4162.4360351562,4165.6411132812,4160.7690429688,4139.7436523438,4159.3588867188,4150.2563476562
4151.2822265625,4147.1796875,4144.7436523438,4144.4873046875,4162.1796875,4161.794921875,4159.615234375,4164.4873046875,4163.205078125,4164.4873046875,4164.1025390625,4144.7436523438,4168.4614257812,4158.0771484375
4162.1796875,4152.8203125,4154.3588867188,4141.9228515625,4162.4360351562,4165.1284179688,4159.3588867188,4163.58984375,4163.58984375,4163.8461914062,4169.7436523438,4152.8203125,4172.1796875,4166.41015625
4172.0512695312,4164.1025390625,4163.205078125,4153.7177734375,4163.9741210938,4165.0,4163.0771484375,4166.0258789062,4163.4614257812,4163.9741210938,4178.7177734375,4162.1796875,4178.4614257812,4173.205078125
4181.9228515625,4172.4360351562,4162.6923828125,4169.2309570312,4160.8974609375,4162.0512695312,4162.4360351562,4164.8715820312,4163.4614257812,4165.0,4186.6665039062,4169.4873046875,4187.5639648438,4180.8974609375
4187.0512695312,4173.9741210938,4163.4614257812,4168.7177734375,4162.1796875,4164.8715820312,4162.9487304688,4164.7436523438,4162.4360351562,4165.0,4188.9741210938,4172.3076171875,4191.1538085938,4186.1538085938
4188.4614257812,4174.615234375,4162.4360351562,4161.41015625,4162.4360351562,4163.3334960938,4162.4360351562,4164.7436523438,4159.8715820312,4165.2563476562,4192.8203125,4175.384765625,4192.4360351562,4188.205078125
4192.5639648438,4176.2822265625,4164.2309570312,4166.9228515625,4161.0258789062,4160.6411132812,4161.5385742188,4165.0,4161.794921875,4166.1538085938,4196.5385742188,4178.4614257812,4193.7177734375,4191.0258789062
4193.8461914062,4178.0771484375,4166.9228515625,4173.3334960938,4161.6665039062,4161.9228515625,4161.0258789062,4165.5126953125,4166.5385742188,4165.0,4193.4614257812,4181.0258789062,4188.8461914062,4187.9487304688
4185.0,4174.8715820312,4162.4360351562,4163.7177734375,4160.7690429688,4162.6923828125,4159.3588867188,4164.1025390625,4166.2822265625,4162.8203125,4188.205078125,4175.8974609375,4180.6411132812,4179.2309570312
4169.1025390625,4163.7177734375,4156.0258789062,4152.8203125,4161.9228515625,4164.1025390625,4161.794921875,4163.8461914062,4163.8461914062,4165.2563476562,4180.2563476562,4162.6923828125,4172.6923828125,4175.384765625
4162.0512695312,4152.3076171875,4148.58984375,4151.1538085938,4161.0258789062,4161.1538085938,4161.1538085938,4163.205078125,4163.9741210938,4167.0512695312,4170.0,4155.5126953125,4166.2822265625,4168.4614257812
4159.4873046875,4146.41015625,4150.8974609375,4149.4873046875,4160.1284179688,4159.615234375,4163.7177734375,4164.4873046875,4164.7436523438,4164.8715820312,4172.4360351562,4154.3588867188,4162.3076171875,4155.2563476562
4155.8974609375,4149.4873046875,4154.615234375,4146.0258789062,4160.6411132812,4162.4360351562,4165.8974609375,4165.8974609375,4164.1025390625,4165.384765625,4177.8203125,4150.384765625,4163.4614257812,4151.0258789062
4159.8715820312,4158.0771484375,4147.3076171875,4149.2309570312,4161.41015625,4161.6665039062,4161.41015625,4163.8461914062,4163.8461914062,4166.794921875,4173.205078125,4146.0258789062,4164.4873046875,4153.9741210938
4161.2822265625,4157.8203125,4146.1538085938,4150.384765625,4165.5126953125,4162.1796875,4164.8715820312,4164.2309570312,4163.0771484375,4163.7177734375,4168.8461914062,4142.5639648438,4159.7436523438,4151.41015625
4161.5385742188,4158.205078125,4146.6665039062,4149.1025390625,4162.5639648438,4162.0512695312,4163.8461914062,4163.3334960938,4162.0512695312,4161.6665039062,4168.7177734375,4141.41015625,4159.615234375,4150.7690429688
4173.8461914062,4167.0512695312,4148.7177734375,4153.58984375,4158.0771484375,4160.5126953125,4157.9487304688,4161.2822265625,4162.6923828125,4164.8715820312,4175.1284179688,4148.7177734375,4172.3076171875,4159.4873046875
4181.5385742188,4169.1025390625,4155.7690429688,4152.8203125,4162.3076171875,4163.205078125,4164.1025390625,4163.3334960938,4164.2309570312,4166.5385742188,4185.0,4157.0512695312,4184.615234375,4167.9487304688
4175.0,4165.8974609375,4157.5639648438,4151.5385742188,4164.2309570312,4162.5639648438,4167.4360351562,4165.8974609375,4164.1025390625,4165.2563476562,4186.9228515625,4157.5639648438,4183.8461914062,4168.4614257812
4176.794921875,4167.0512695312,4159.8715820312,4157.1796875,4163.7177734375,4161.6665039062,4164.615234375,4163.8461914062,4163.3334960938,4166.41015625,4184.3588867188,4158.7177734375,4180.2563476562,4168.58984375
4181.0258789062,4167.9487304688,4160.1284179688,4158.8461914062,4163.4614257812,4162.9487304688,4163.3334960938,4160.2563476562,4163.58984375,4164.7436523438,4186.9228515625,4158.4614257812,4183.205078125,4170.1284179688
4173.205078125,4163.9741210938,4158.9741210938,4151.41015625,4162.1796875,4162.9487304688,4164.3588867188,4160.384765625,4163.8461914062,4164.3588867188,4185.8974609375,4153.58984375,4181.6665039062,4170.7690429688
4170.5126953125,4159.3588867188,4159.1025390625,4146.2822265625,4163.0771484375,4162.9487304688,4167.5639648438,4163.9741210938,4164.1025390625,4167.6923828125,4178.8461914062,4152.4360351562,4174.3588867188,4168.58984375
4169.615234375,4152.9487304688,4152.8203125,4144.615234375,4162.5639648438,4162.5639648438,4167.3076171875,4165.2563476562,4163.3334960938,4166.0258789062,4178.4614257812,4150.0,4166.0258789062,4162.4360351562
4159.7436523438,4146.9228515625,4150.5126953125,4135.1284179688,4164.4873046875,4164.1025390625,4169.4873046875,4165.1284179688,4162.4360351562,4163.0771484375,4175.5126953125,4141.6665039062,4159.4873046875,4156.0258789062
4157.3076171875,4148.7177734375,4152.0512695312,4134.615234375,4164.4873046875,4162.4360351562,4166.0258789062,4164.615234375,4160.8974609375,4164.3588867188,4172.6923828125,4143.4614257812,4161.5385742188,4157.0512695312
4162.8203125,4153.4614257812,4151.41015625,4143.205078125,4162.8203125,4160.7690429688,4158.4614257812,4164.1025390625,4159.7436523438,4165.7690429688,4178.58984375,4149.7436523438,4167.3076171875,4162.9487304688
4163.205078125,4154.7436523438,4153.58984375,4142.6923828125,4169.2309570312,4164.4873046875,4163.7177734375,4165.2563476562,4161.0258789062,4166.9228515625,4180.0,4146.2822265625,4167.0512695312,4162.1796875
4163.0771484375,4159.4873046875,4152.6923828125,4140.5126953125,4165.7690429688,4161.0258789062,4162.4360351562,4161.6665039062,4161.2822265625,4166.2822265625,4178.58984375,4151.9228515625,4169.2309570312,4161.0258789062
4167.1796875,4166.2822265625,4153.3334960938,4142.3076171875,4157.4360351562,4158.3334960938,4160.5126953125,4157.8203125,4160.8974609375,4165.1284179688,4184.2309570312,4164.7436523438,4174.4873046875,4166.6665039062
4170.2563476562,4164.615234375,4155.6411132812,4147.3076171875,4161.41015625,4163.0771484375,4164.615234375,4160.0,4161.41015625,4165.2563476562,4188.4614257812,4164.4873046875,4175.6411132812,4169.7436523438
4170.8974609375,4165.0,4152.4360351562,4149.615234375,4164.2309570312,4162.5639648438,4160.7690429688,4160.6411132812,4161.794921875,4162.1796875,4185.8974609375,4161.5385742188,4176.794921875,4169.8715820312
4171.6665039062,4171.2822265625,4152.8203125,4143.58984375,4162.4360351562,4160.384765625,4161.5385742188,4160.7690429688,4162.3076171875,4164.4873046875,4178.205078125,4158.0771484375,4173.58984375,4166.1538085938
4172.5639648438,4169.1025390625,4151.9228515625,4137.8203125,4160.2563476562,4161.5385742188,4162.4360351562,4161.0258789062,4164.1025390625,4172.9487304688,4172.6923828125,4153.9741210938,4170.384765625,4159.4873046875
4172.1796875,4167.3076171875,4157.4360351562,4148.4614257812,4162.8203125,4164.7436523438,4161.5385742188,4163.8461914062,4163.58984375,4170.0,4181.2822265625,4162.8203125,4176.9228515625,4160.6411132812
4172.4360351562,4173.58984375,4165.384765625,4159.7436523438,4166.2822265625,4164.4873046875,4164.4873046875,4164.1025390625,4162.3076171875,4162.8203125,4193.4614257812,4170.6411132812,4182.6923828125,4166.2822265625
4170.0,4170.0,4154.3588867188,4146.9228515625,4161.0258789062,4160.5126953125,4160.8974609375,4158.8461914062,4164.4873046875,4166.41015625,4187.5639648438,4161.1538085938,4178.0771484375,4158.3334960938
4163.0771484375,4157.0512695312,4146.9228515625,4128.3334960938,4159.3588867188,4162.3076171875,4159.2309570312,4161.0258789062,4165.384765625,4170.2563476562,4175.384765625,4152.4360351562,4171.5385742188,4149.7436523438
4158.8461914062,4153.3334960938,4151.9228515625,4129.8715820312,4161.5385742188,4163.0771484375,4161.0258789062,4164.4873046875,4162.3076171875,4167.4360351562,4175.0,4151.1538085938,4171.9228515625,4153.7177734375
4168.205078125,4159.8715820312,4155.384765625,4140.0,4162.0512695312,4160.6411132812,4162.5639648438,4162.0512695312,4161.6665039062,4166.41015625,4181.2822265625,4151.2822265625,4177.3076171875,4159.4873046875
4179.3588867188,4164.7436523438,4157.8203125,4140.384765625,4163.4614257812,4163.8461914062,4164.4873046875,4163.7177734375,4163.205078125,4166.41015625,4185.384765625,4153.4614257812,4180.6411132812,4165.384765625
4183.4614257812,4167.5639648438,4160.5126953125,4141.1538085938,4161.9228515625,4166.41015625,4161.0258789062,4165.0,4163.0771484375,4161.9228515625,4188.0771484375,4161.9228515625,4181.6665039062,4172.4360351562
4182.1796875,4171.0258789062,4165.1284179688,4148.0771484375,4163.58984375,4164.7436523438,4161.0258789062,4160.5126953125,4163.9741210938,4162.3076171875,4191.1538085938,4167.5639648438,4187.1796875,4170.6411132812
4174.615234375,4171.794921875,4161.6665039062,4146.6665039062,4164.3588867188,4161.6665039062,4163.8461914062,4159.3588867188,4163.9741210938,4169.8715820312,4191.794921875,4165.7690429688,4188.58984375,4164.8715820312
4171.794921875,4168.205078125,4156.0258789062,4142.0512695312,4161.9228515625,4160.2563476562,4163.58984375,4164.4873046875,4163.3334960938,4171.5385742188,4189.615234375,4162.3076171875,4181.2822265625,4165.6411132812
4171.6665039062,4165.2563476562,4157.4360351562,4143.3334960938,4164.1025390625,4163.58984375,4163.205078125,4166.1538085938,4163.9741210938,4164.7436523438,4189.4873046875,4157.5639648438,4174.1025390625,4159.8715820312
4163.9741210938,4162.4360351562,4153.7177734375,4135.7690429688,4162.6923828125,4160.0,4159.7436523438,4160.5126953125,4161.6665039062,4163.0771484375,4186.2822265625,4149.615234375,4168.3334960938,4150.1284179688
4156.794921875,4157.0512695312,4149.3588867188,4125.0,4160.5126953125,4157.3076171875,4161.6665039062,4161.41015625,4160.7690429688,4167.4360351562,4177.1796875,4142.4360351562,4158.58984375,4144.4873046875
4156.794921875,4157.4360351562,4145.6411132812,4128.4614257812,4162.4360351562,4161.9228515625,4164.7436523438,4165.5126953125,4163.3334960938,4165.0,4172.6923828125,4143.9741210938,4155.2563476562,4140.8974609375
4159.615234375,4163.8461914062,4144.615234375,4138.4614257812,4161.794921875,4160.6411132812,4161.2822265625,4161.5385742188,4162.6923828125,4162.1796875,4177.3076171875,4148.0771484375,4164.1025390625,4145.7690429688
4154.8715820312,4160.7690429688,4147.9487304688,4133.58984375,4160.5126953125,4160.0,4160.8974609375,4161.2822265625,4162.8203125,4165.5126953125,4179.1025390625,4143.3334960938,4166.41015625,4148.8461914062
4143.58984375,4149.615234375,4141.41015625,4120.2563476562,4160.0,4159.8715820312,4159.7436523438,4162.6923828125,4165.7690429688,4166.794921875,4173.7177734375,4131.2822265625,4158.58984375,4136.6665039062
4143.7177734375,4144.7436523438,4140.384765625,4122.8203125,4161.0258789062,4159.4873046875,4161.6665039062,4161.2822265625,4166.0258789062,4163.8461914062,4171.9228515625,4129.4873046875,4156.9228515625,4129.7436523438
4150.6411132812,4144.7436523438,4145.7690429688,4128.4614257812,4161.1538085938,4161.2822265625,4164.8715820312,4161.794921875,4163.9741210938,4162.8203125,4175.1284179688,4136.794921875,4162.9487304688,4136.794921875
4143.7177734375,4143.4614257812,4140.2563476562,4120.6411132812,4157.4360351562,4161.9228515625,4157.8203125,4162.0512695312,4163.7177734375,4166.1538085938,4173.3334960938,4135.7690429688,4161.41015625,4133.7177734375
4139.2309570312,4146.5385742188,4140.5126953125,4117.0512695312,4158.58984375,4163.58984375,4157.8203125,4161.794921875,4164.4873046875,4166.6665039062,4170.6411132812,4137.1796875,4160.0,4131.5385742188
4149.1025390625,4149.1025390625,4143.9741210938,4125.5126953125,4162.0512695312,4161.5385742188,4162.4360351562,4160.7690429688,4162.9487304688,4162.8203125,4176.41015625,4146.794921875,4167.1796875,4146.1538085938
4154.3588867188,4152.4360351562,4145.384765625,4130.0,4161.794921875,4161.2822265625,4160.5126953125,4161.5385742188,4162.5639648438,4162.8203125,4185.0,4149.3588867188,4171.1538085938,4153.205078125
4161.0258789062,4161.9228515625,4153.58984375,4130.6411132812,4161.6665039062,4164.3588867188,4162.1796875,4166.1538085938,4164.2309570312,4164.4873046875,4188.8461914062,4151.6665039062,4173.9741210938,4154.1025390625
4171.794921875,4166.41015625,4156.41015625,4138.4614257812,4162.3076171875,4162.3076171875,4162.8203125,4165.7690429688,4162.8203125,4163.7177734375,4189.2309570312,4158.3334960938,4177.4360351562,4158.205078125
4168.8461914062,4160.7690429688,4153.4614257812,4140.384765625,4164.4873046875,4162.6923828125,4161.5385742188,4163.7177734375,4162.5639648438,4164.3588867188,4186.5385742188,4151.9228515625,4172.4360351562,4153.8461914062
4159.1025390625,4156.1538085938,4150.8974609375,4134.3588867188,4162.4360351562,4163.3334960938,4161.1538085938,4162.1796875,4165.5126953125,4165.1284179688,4181.1538085938,4142.5639648438,4161.1538085938,4143.8461914062
4156.5385742188,4155.5126953125,4148.4614257812,4133.205078125,4159.615234375,4159.7436523438,4159.7436523438,4162.3076171875,4165.2563476562,4163.205078125,4177.1796875,4142.1796875,4153.0771484375,4137.8203125
4155.2563476562,4152.8203125,4147.3076171875,4138.58984375,4163.4614257812,4162.1796875,4161.0258789062,4164.8715820312,4163.3334960938,4161.1538085938,4173.8461914062,4138.205078125,4146.5385742188,4128.58984375
4151.1538085938,4150.7690429688,4144.615234375,4142.5639648438,4163.3334960938,4164.4873046875,4160.5126953125,4163.4614257812,4164.3588867188,4161.794921875,4171.1538085938,4131.41015625,4145.7690429688,4121.2822265625
4152.3076171875,4150.6411132812,4147.1796875,4143.205078125,4162.9487304688,4162.9487304688,4164.4873046875,4162.8203125,4165.384765625,4164.615234375,4174.2309570312,4129.3588867188,4150.0,4127.5639648438
4155.6411132812,4153.0771484375,4148.0771484375,4143.3334960938,4163.4614257812,4162.3076171875,4165.7690429688,4163.205078125,4163.8461914062,4165.6411132812,4175.2563476562,4130.5126953125,4150.0,4130.5126953125
4154.1025390625,4152.4360351562,4144.8715820312,4144.2309570312,4158.205078125,4161.5385742188,4159.615234375,4163.58984375,4162.5639648438,4163.58984375,4170.384765625,4132.0512695312,4150.1284179688,4129.2309570312
4151.794921875,4143.8461914062,4144.4873046875,4143.4614257812,4159.7436523438,4162.4360351562,4162.8203125,4165.1284179688,4164.4873046875,4163.7177734375,4164.4873046875,4127.1796875,4147.8203125,4131.2822265625
4150.1284179688,4142.0512695312,4139.4873046875,4141.2822265625,4163.58984375,4161.794921875,4160.7690429688,4163.3334960938,4166.1538085938,4166.0258789062,4164.2309570312,4122.0512695312,4141.5385742188,4124.7436523438
4151.41015625,4150.1284179688,4142.5639648438,4142.4360351562,4162.3076171875,4164.1025390625,4157.3076171875,4162.9487304688,4165.5126953125,4166.6665039062,4170.2563476562,4132.0512695312,4148.205078125,4127.0512695312
4163.4614257812,4159.8715820312,4151.794921875,4146.2822265625,4160.7690429688,4164.4873046875,4162.9487304688,4165.0,4163.3334960938,4165.6411132812,4178.9741210938,4149.3588867188,4167.1796875,4151.9228515625
4177.8203125,4166.6665039062,4152.5639648438,4150.8974609375,4159.2309570312,4161.5385742188,4162.9487304688,4161.9228515625,4161.2822265625,4163.8461914062,4187.8203125,4158.3334960938,4180.8974609375,4166.1538085938
4176.2822265625,4167.8203125,4155.5126953125,4157.5639648438,4159.2309570312,4162.9487304688,4161.41015625,4160.0,4162.9487304688,4163.7177734375,4193.3334960938,4157.3076171875,4179.8715820312,4156.6665039062
4162.9487304688,4160.5126953125,4153.0771484375,4155.6411132812,4159.615234375,4160.8974609375,4161.0258789062,4163.9741210938,4165.1284179688,4164.615234375,4189.2309570312,4150.5126953125,4170.7690429688,4146.2822265625
4160.5126953125,4156.5385742188,4147.6923828125,4145.384765625,4164.4873046875,4160.6411132812,4166.1538085938,4165.2563476562,4163.205078125,4164.4873046875,4183.205078125,4144.7436523438,4167.1796875,4140.1284179688
4164.4873046875,4162.4360351562,4150.5126953125,4148.0771484375,4167.1796875,4165.2563476562,4169.7436523438,4163.205078125,4161.0258789062,4165.5126953125,4186.41015625,4144.3588867188,4170.5126953125,4136.6665039062
4164.2309570312,4165.0,4150.1284179688,4160.0,4160.6411132812,4163.0771484375,4162.3076171875,4163.3334960938,4163.3334960938,4166.5385742188,4191.1538085938,4145.5126953125,4174.1025390625,4138.7177734375
4162.1796875,4157.9487304688,4149.2309570312,4155.1284179688,4161.9228515625,4160.2563476562,4164.2309570312,4165.5126953125,4166.5385742188,4165.384765625,4185.7690429688,4144.7436523438,4169.1025390625,4138.205078125
4159.615234375,4150.8974609375,4147.0512695312,4143.3334960938,4165.0,4161.9228515625,4165.384765625,4162.9487304688,4163.8461914062,4163.8461914062,4176.41015625,4142.6923828125,4156.0258789062,4129.615234375
4153.9741210938,4153.4614257812,4143.8461914062,4143.3334960938,4159.8715820312,4162.9487304688,4157.6923828125,4160.0,4161.9228515625,4163.58984375,4177.8203125,4138.8461914062,4150.6411132812,4121.0258789062
4147.6923828125,4156.0258789062,4146.5385742188,4146.9228515625,4161.1538085938,4165.1284179688,4160.8974609375,4164.3588867188,4164.8715820312,4166.0258789062,4185.2563476562,4136.5385742188,4159.1025390625,4121.6665039062
4148.9741210938,4153.3334960938,4148.0771484375,4145.8974609375,4164.1025390625,4163.205078125,4163.205078125,4165.1284179688,4164.4873046875,4167.5639648438,4184.3588867188,4138.205078125,4167.1796875,4126.5385742188
4154.1025390625,4153.8461914062,4150.2563476562,4141.9228515625,4164.2309570312,4163.4614257812,4162.8203125,4162.0512695312,4162.6923828125,4166.1538085938,4182.8203125,4140.6411132812,4166.41015625,4127.0512695312
4155.5126953125,4154.8715820312,4147.6923828125,4145.8974609375,4162.8203125,4165.8974609375,4164.1025390625,4163.205078125,4163.4614257812,4165.384765625,4189.2309570312,4143.3334960938,4165.384765625,4124.4873046875
4151.0258789062,4154.3588867188,4143.205078125,4152.4360351562,4161.41015625,4162.9487304688,4161.5385742188,4166.6665039062,4163.7177734375,4165.8974609375,4191.6665039062,4145.7690429688,4167.3076171875,4126.6665039062
4150.2563476562,4151.5385742188,4148.0771484375,4148.7177734375,4165.2563476562,4161.9228515625,4162.3076171875,4166.2822265625,4162.0512695312,4164.615234375,4188.58984375,4144.2309570312,4172.0512695312,4130.0
4153.8461914062,4151.9228515625,4149.1025390625,4146.2822265625,4163.58984375,4161.41015625,4161.2822265625,4159.2309570312,4160.6411132812,4163.8461914062,4195.0,4144.615234375,4179.615234375,4132.8203125
4156.2822265625,4153.9741210938,4150.0,4152.6923828125,4160.0,4163.58984375,4163.7177734375,4159.2309570312,4162.3076171875,4165.5126953125,4200.384765625,4153.7177734375,4183.7177734375,4142.3076171875
4158.8461914062,4153.8461914062,4151.41015625,4152.0512695312,4162.0512695312,4165.5126953125,4167.3076171875,4163.3334960938,4163.7177734375,4164.1025390625,4195.6411132812,4158.58984375,4182.8203125,4149.2309570312
4157.1796875,4154.4873046875,4148.205078125,4146.41015625,4162.6923828125,4161.2822265625,4163.205078125,4162.3076171875,4163.3334960938,4161.41015625,4193.58984375,4153.0771484375,4182.1796875,4149.7436523438
4156.6665039062,4151.9228515625,4149.3588867188,4143.9741210938,4163.4614257812,4161.794921875,4163.9741210938,4163.3334960938,4163.9741210938,4164.8715820312,4187.6923828125,4147.4360351562,4178.4614257812,4148.58984375
4154.4873046875,4143.7177734375,4145.7690429688,4138.7177734375,4161.5385742188,4163.7177734375,4165.8974609375,4163.205078125,4165.1284179688,4168.3334960938,4177.5639648438,4146.41015625,4171.41015625,4142.3076171875
4143.8461914062,4137.4360351562,4140.384765625,4132.5639648438,4159.8715820312,4163.8461914062,4164.3588867188,4160.8974609375,4162.9487304688,4165.8974609375,4173.7177734375,4142.0512695312,4164.2309570312,4132.0512695312
4136.1538085938,4136.41015625,4140.2563476562,4130.384765625,4161.2822265625,4163.9741210938,4162.9487304688,4162.4360351562,4161.9228515625,4164.615234375,4173.4614257812,4136.794921875,4161.41015625,4133.8461914062
4141.6665039062,4137.1796875,4141.794921875,4135.8974609375,4160.1284179688,4161.1538085938,4162.1796875,4162.6923828125,4164.2309570312,4167.9487304688,4173.7177734375,4141.2822265625,4163.9741210938,4141.9228515625
