AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4155.6411132812,4153.3334960938,4154.8715820312,4166.0258789062,4159.4873046875,4163.9741210938,4161.0258789062,4167.9487304688,4163.9741210938,4170.0,4161.9228515625,4154.2309570312,4152.0512695312,4164.2309570312
4154.2309570312,4153.58984375,4153.9741210938,4163.8461914062,4161.1538085938,4161.794921875,4159.615234375,4166.5385742188,4164.3588867188,4169.2309570312,4165.7690429688,4153.205078125,4158.58984375,4167.0512695312
4142.3076171875,4140.2563476562,4146.9228515625,4160.5126953125,4163.9741210938,4162.1796875,4163.8461914062,4166.9228515625,4165.0,4168.7177734375,4146.6665039062,4140.8974609375,4141.2822265625,4157.0512695312
4134.7436523438,4140.1284179688,4140.384765625,4161.2822265625,4162.8203125,4164.615234375,4164.2309570312,4163.205078125,4163.4614257812,4168.205078125,4133.9741210938,4134.4873046875,4123.9741210938,4151.2822265625
4149.8715820312,4158.8461914062,4151.41015625,4170.1284179688,4161.5385742188,4165.6411132812,4161.5385742188,4161.1538085938,4162.5639648438,4168.205078125,4157.5639648438,4149.7436523438,4144.615234375,4164.615234375
4165.0,4164.1025390625,4161.794921875,4174.3588867188,4160.7690429688,4165.7690429688,4162.5639648438,4166.0258789062,4165.6411132812,4168.9741210938,4171.9228515625,4160.8974609375,4161.2822265625,4175.5126953125
4162.9487304688,4158.3334960938,4157.1796875,4169.8715820312,4159.615234375,4162.8203125,4162.5639648438,4164.8715820312,4166.6665039062,4169.615234375,4155.5126953125,4154.3588867188,4144.8715820312,4167.1796875
4150.7690429688,4151.0258789062,4150.5126953125,4162.9487304688,4162.0512695312,4159.8715820312,4161.0258789062,4165.8974609375,4163.4614257812,4167.1796875,4140.0,4138.9741210938,4127.8203125,4157.4360351562
4145.0,4142.4360351562,4145.6411132812,4158.9741210938,4162.4360351562,4157.9487304688,4156.1538085938,4166.6665039062,4163.9741210938,4165.384765625,4141.794921875,4133.9741210938,4134.4873046875,4158.205078125
4155.2563476562,4146.41015625,4151.41015625,4164.1025390625,4161.5385742188,4159.8715820312,4158.8461914062,4163.3334960938,4166.0258789062,4167.4360351562,4150.6411132812,4142.8203125,4145.1284179688,4163.7177734375
4164.4873046875,4161.2822265625,4162.6923828125,4170.2563476562,4164.2309570312,4163.3334960938,4165.7690429688,4163.9741210938,4164.2309570312,4170.0,4154.1025390625,4150.5126953125,4147.0512695312,4167.5639648438
4152.5639648438,4152.8203125,4153.0771484375,4160.7690429688,4163.0771484375,4161.5385742188,4161.6665039062,4164.3588867188,4161.794921875,4169.1025390625,4143.0771484375,4144.4873046875,4138.4614257812,4158.8461914062
4145.8974609375,4141.5385742188,4146.9228515625,4158.0771484375,4161.1538085938,4161.2822265625,4161.6665039062,4166.794921875,4163.4614257812,4167.8203125,4142.9487304688,4144.1025390625,4135.0,4158.3334960938
4160.2563476562,4158.58984375,4159.8715820312,4168.0771484375,4160.8974609375,4163.0771484375,4165.8974609375,4167.4360351562,4166.2822265625,4167.0512695312,4165.0,4161.1538085938,4153.205078125,4171.6665039062
4166.2822265625,4164.4873046875,4162.4360351562,4164.615234375,4162.0512695312,4164.3588867188,4162.6923828125,4163.9741210938,4165.384765625,4164.1025390625,4168.4614257812,4165.2563476562,4162.0512695312,4170.2563476562
4162.5639648438,4157.6923828125,4157.4360351562,4158.0771484375,4164.7436523438,4165.384765625,4160.384765625,4163.7177734375,4164.4873046875,4163.0771484375,4156.5385742188,4160.1284179688,4151.1538085938,4169.1025390625
4164.4873046875,4164.615234375,4160.7690429688,4161.5385742188,4161.5385742188,4161.41015625,4160.384765625,4162.4360351562,4164.2309570312,4165.1284179688,4159.8715820312,4165.6411132812,4149.3588867188,4175.1284179688
4162.3076171875,4162.4360351562,4162.6923828125,4165.8974609375,4159.7436523438,4159.4873046875,4163.3334960938,4163.4614257812,4165.2563476562,4167.6923828125,4165.1284179688,4163.8461914062,4155.7690429688,4170.5126953125
4153.9741210938,4143.9741210938,4155.0,4160.7690429688,4162.8203125,4160.1284179688,4165.0,4165.1284179688,4166.5385742188,4167.1796875,4161.9228515625,4155.384765625,4161.6665039062,4163.3334960938
4154.7436523438,4147.0512695312,4154.1025390625,4157.8203125,4161.1538085938,4159.2309570312,4161.5385742188,4164.8715820312,4165.8974609375,4166.9228515625,4163.4614257812,4158.0771484375,4164.7436523438,4164.4873046875
4160.7690429688,4162.4360351562,4164.615234375,4164.2309570312,4161.41015625,4162.6923828125,4162.9487304688,4168.3334960938,4165.6411132812,4168.9741210938,4171.1538085938,4165.384765625,4163.58984375,4171.1538085938
4162.1796875,4159.7436523438,4164.4873046875,4161.9228515625,4164.7436523438,4163.7177734375,4163.3334960938,4167.6923828125,4165.2563476562,4170.2563476562,4171.41015625,4164.7436523438,4160.6411132812,4168.3334960938
4162.1796875,4156.1538085938,4158.8461914062,4159.2309570312,4165.6411132812,4161.1538085938,4163.0771484375,4163.3334960938,4164.615234375,4170.6411132812,4169.1025390625,4165.384765625,4164.4873046875,4163.205078125
4159.7436523438,4156.41015625,4158.7177734375,4161.6665039062,4162.4360351562,4161.2822265625,4163.7177734375,4163.0771484375,4164.615234375,4169.3588867188,4164.8715820312,4162.6923828125,4162.6923828125,4161.9228515625
4150.7690429688,4153.8461914062,4155.8974609375,4160.384765625,4159.4873046875,4160.6411132812,4160.5126953125,4163.9741210938,4165.8974609375,4167.8203125,4153.7177734375,4149.3588867188,4148.58984375,4156.794921875
4145.8974609375,4151.1538085938,4153.7177734375,4158.0771484375,4161.41015625,4160.2563476562,4162.1796875,4164.615234375,4168.205078125,4167.6923828125,4146.41015625,4141.5385742188,4141.2822265625,4154.3588867188
4154.2309570312,4157.3076171875,4157.4360351562,4158.58984375,4159.7436523438,4160.0,4162.6923828125,4162.1796875,4166.2822265625,4167.3076171875,4155.2563476562,4154.3588867188,4154.8715820312,4160.5126953125
4165.384765625,4170.0,4165.7690429688,4163.7177734375,4159.2309570312,4164.4873046875,4161.6665039062,4164.8715820312,4163.0771484375,4166.41015625,4169.8715820312,4170.0,4171.9228515625,4168.58984375
4161.0258789062,4168.58984375,4163.4614257812,4163.205078125,4162.5639648438,4164.615234375,4164.4873046875,4168.8461914062,4165.5126953125,4166.6665039062,4165.1284179688,4161.41015625,4165.0,4163.0771484375
4147.9487304688,4159.2309570312,4152.4360351562,4158.8461914062,4160.8974609375,4156.1538085938,4162.5639648438,4161.9228515625,4167.4360351562,4165.8974609375,4155.6411132812,4150.7690429688,4147.8203125,4153.8461914062
4157.3076171875,4168.0771484375,4162.0512695312,4165.7690429688,4159.8715820312,4159.2309570312,4159.8715820312,4160.2563476562,4166.0258789062,4165.384765625,4165.7690429688,4166.9228515625,4154.1025390625,4164.3588867188
4171.41015625,4178.0771484375,4171.2822265625,4166.794921875,4161.794921875,4166.2822265625,4159.7436523438,4164.2309570312,4164.1025390625,4167.6923828125,4175.2563476562,4176.6665039062,4169.2309570312,4168.4614257812
4162.1796875,4166.41015625,4160.7690429688,4157.8203125,4162.9487304688,4164.1025390625,4162.3076171875,4163.3334960938,4164.2309570312,4170.0,4169.4873046875,4162.3076171875,4166.6665039062,4158.3334960938
4153.8461914062,4155.7690429688,4155.384765625,4157.4360351562,4162.4360351562,4160.6411132812,4163.8461914062,4163.58984375,4166.794921875,4168.9741210938,4163.205078125,4155.0,4157.0512695312,4160.0
4171.6665039062,4173.7177734375,4167.5639648438,4166.9228515625,4161.794921875,4158.9741210938,4158.3334960938,4162.1796875,4167.6923828125,4163.8461914062,4177.5639648438,4172.6923828125,4173.8461914062,4172.5639648438
4194.1025390625,4193.8461914062,4181.41015625,4178.0771484375,4164.1025390625,4161.41015625,4161.794921875,4162.3076171875,4165.7690429688,4164.2309570312,4200.2563476562,4192.3076171875,4200.1284179688,4184.2309570312
4185.1284179688,4180.1284179688,4175.1284179688,4174.615234375,4163.0771484375,4162.5639648438,4166.1538085938,4163.8461914062,4163.205078125,4168.8461914062,4193.58984375,4183.9741210938,4190.1284179688,4177.0512695312
4160.8974609375,4160.6411132812,4159.7436523438,4160.2563476562,4159.4873046875,4161.2822265625,4161.1538085938,4162.3076171875,4164.615234375,4166.2822265625,4162.9487304688,4159.2309570312,4158.205078125,4153.205078125
4157.9487304688,4169.7436523438,4159.1025390625,4160.7690429688,4162.3076171875,4163.4614257812,4162.6923828125,4165.5126953125,4167.5639648438,4162.4360351562,4159.7436523438,4154.2309570312,4154.615234375,4154.3588867188
4166.6665039062,4174.2309570312,4160.6411132812,4164.7436523438,4163.7177734375,4162.8203125,4162.8203125,4165.1284179688,4166.5385742188,4165.1284179688,4175.384765625,4161.5385742188,4167.8203125,4165.7690429688
4160.8974609375,4152.4360351562,4155.384765625,4158.8461914062,4162.1796875,4161.6665039062,4160.384765625,4161.6665039062,4165.7690429688,4169.2309570312,4160.8974609375,4151.9228515625,4157.5639648438,4154.2309570312
4155.384765625,4149.2309570312,4156.1538085938,4160.384765625,4162.1796875,4163.205078125,4160.0,4163.9741210938,4165.6411132812,4168.3334960938,4145.384765625,4145.8974609375,4149.2309570312,4150.0
4150.8974609375,4155.6411132812,4156.6665039062,4162.3076171875,4162.0512695312,4161.6665039062,4157.8203125,4163.7177734375,4163.7177734375,4166.9228515625,4151.9228515625,4146.2822265625,4160.0,4153.0771484375
4134.1025390625,4133.58984375,4147.0512695312,4151.2822265625,4163.3334960938,4162.8203125,4159.4873046875,4164.3588867188,4163.0771484375,4168.7177734375,4142.0512695312,4125.384765625,4147.6923828125,4138.3334960938
4131.9228515625,4128.58984375,4141.0258789062,4147.5639648438,4162.0512695312,4163.8461914062,4160.1284179688,4164.7436523438,4166.9228515625,4168.3334960938,4131.5385742188,4115.7690429688,4130.5126953125,4132.4360351562
4149.2309570312,4153.0771484375,4153.58984375,4158.9741210938,4161.794921875,4162.0512695312,4163.3334960938,4166.1538085938,4168.58984375,4166.0258789062,4147.5639648438,4137.3076171875,4148.4614257812,4150.384765625
4152.8203125,4155.1284179688,4157.6923828125,4160.2563476562,4164.4873046875,4162.9487304688,4164.8715820312,4167.5639648438,4162.8203125,4166.1538085938,4152.6923828125,4142.8203125,4157.5639648438,4156.2822265625
4142.9487304688,4140.6411132812,4143.9741210938,4151.5385742188,4161.41015625,4162.3076171875,4157.3076171875,4160.8974609375,4159.4873046875,4167.5639648438,4137.9487304688,4127.3076171875,4139.2309570312,4141.5385742188
4147.0512695312,4150.7690429688,4146.6665039062,4155.8974609375,4159.4873046875,4160.6411132812,4158.8461914062,4162.1796875,4163.4614257812,4167.0512695312,4140.2563476562,4131.1538085938,4142.8203125,4143.58984375
4164.4873046875,4172.4360351562,4160.384765625,4165.1284179688,4161.0258789062,4161.1538085938,4161.794921875,4164.7436523438,4163.9741210938,4166.41015625,4159.7436523438,4150.7690429688,4165.5126953125,4159.8715820312
4167.4360351562,4169.4873046875,4164.1025390625,4166.1538085938,4161.2822265625,4162.6923828125,4160.0,4160.2563476562,4161.794921875,4167.0512695312,4165.0,4155.5126953125,4166.0258789062,4160.1284179688
4148.205078125,4150.6411132812,4157.6923828125,4159.615234375,4161.41015625,4162.6923828125,4161.2822265625,4161.41015625,4165.6411132812,4168.9741210938,4147.9487304688,4139.1025390625,4148.3334960938,4146.794921875
4133.9741210938,4144.8715820312,4150.2563476562,4153.9741210938,4160.1284179688,4161.5385742188,4158.9741210938,4163.4614257812,4166.2822265625,4167.5639648438,4133.4614257812,4127.6923828125,4136.1538085938,4139.2309570312
4140.5126953125,4151.9228515625,4150.8974609375,4156.794921875,4160.384765625,4164.3588867188,4160.1284179688,4163.3334960938,4162.6923828125,4163.4614257812,4139.2309570312,4136.0258789062,4138.205078125,4149.2309570312
4145.8974609375,4153.0771484375,4149.2309570312,4156.6665039062,4159.8715820312,4163.58984375,4162.5639648438,4162.6923828125,4164.8715820312,4166.1538085938,4144.3588867188,4140.1284179688,4145.5126953125,4153.7177734375
4142.6923828125,4150.2563476562,4147.8203125,4155.5126953125,4160.0,4158.3334960938,4160.6411132812,4164.615234375,4167.1796875,4168.9741210938,4143.8461914062,4135.2563476562,4149.4873046875,4145.7690429688
4144.615234375,4151.1538085938,4153.3334960938,4159.1025390625,4163.205078125,4159.2309570312,4161.9228515625,4169.3588867188,4167.5639648438,4165.5126953125,4151.2822265625,4138.8461914062,4152.9487304688,4149.4873046875
4146.794921875,4148.9741210938,4151.0258789062,4154.4873046875,4160.7690429688,4162.4360351562,4161.6665039062,4164.4873046875,4167.4360351562,4165.0,4150.1284179688,4142.9487304688,4148.4614257812,4151.5385742188
4151.9228515625,4156.1538085938,4155.384765625,4153.9741210938,4159.7436523438,4163.7177734375,4161.0258789062,4161.794921875,4166.9228515625,4169.1025390625,4150.384765625,4144.8715820312,4148.8461914062,4154.3588867188
4160.1284179688,4164.2309570312,4164.4873046875,4161.0258789062,4162.5639648438,4162.6923828125,4161.2822265625,4165.0,4166.1538085938,4168.3334960938,4160.7690429688,4150.1284179688,4163.0771484375,4163.3334960938
4160.2563476562,4163.7177734375,4158.8461914062,4159.8715820312,4163.3334960938,4161.1538085938,4159.615234375,4161.1538085938,4163.8461914062,4167.9487304688,4157.0512695312,4153.0771484375,4168.0771484375,4162.1796875
4163.9741210938,4171.2822265625,4159.4873046875,4159.3588867188,4163.58984375,4163.3334960938,4161.41015625,4161.5385742188,4163.9741210938,4171.9228515625,4151.41015625,4156.0258789062,4162.4360351562,4159.615234375
4166.794921875,4170.5126953125,4164.615234375,4158.205078125,4160.6411132812,4163.3334960938,4162.3076171875,4164.3588867188,4165.8974609375,4169.4873046875,4156.6665039062,4156.1538085938,4163.3334960938,4158.4614257812
4156.5385742188,4152.9487304688,4157.6923828125,4152.4360351562,4158.9741210938,4161.9228515625,4163.0771484375,4161.9228515625,4166.2822265625,4165.7690429688,4154.3588867188,4148.4614257812,4163.4614257812,4154.8715820312
4144.615234375,4146.1538085938,4147.5639648438,4148.4614257812,4161.9228515625,4163.8461914062,4163.205078125,4161.9228515625,4166.5385742188,4167.1796875,4144.3588867188,4139.1025390625,4149.615234375,4147.4360351562
4137.8203125,4151.2822265625,4143.0771484375,4147.0512695312,4160.6411132812,4164.1025390625,4158.7177734375,4164.4873046875,4166.6665039062,4169.3588867188,4140.5126953125,4131.794921875,4136.5385742188,4137.3076171875
4139.8715820312,4154.2309570312,4148.0771484375,4153.205078125,4160.2563476562,4164.2309570312,4160.8974609375,4167.0512695312,4165.2563476562,4168.7177734375,4139.1025390625,4133.8461914062,4136.1538085938,4139.4873046875
4155.384765625,4167.9487304688,4156.41015625,4161.41015625,4162.5639648438,4161.794921875,4162.1796875,4164.615234375,4165.0,4165.2563476562,4148.0771484375,4150.384765625,4148.205078125,4150.5126953125
4157.6923828125,4174.4873046875,4158.0771484375,4160.2563476562,4161.794921875,4159.4873046875,4157.5639648438,4164.615234375,4166.9228515625,4164.1025390625,4152.0512695312,4149.7436523438,4149.1025390625,4145.384765625
4143.9741210938,4161.6665039062,4152.4360351562,4154.4873046875,4160.8974609375,4163.0771484375,4158.9741210938,4168.0771484375,4167.8203125,4167.0512695312,4133.9741210938,4130.5126953125,4129.8715820312,4132.3076171875
4149.4873046875,4161.5385742188,4149.8715820312,4153.7177734375,4160.8974609375,4163.0771484375,4161.41015625,4161.6665039062,4165.8974609375,4168.4614257812,4126.41015625,4134.2309570312,4126.2822265625,4135.8974609375
4158.205078125,4164.4873046875,4153.3334960938,4155.6411132812,4160.384765625,4159.8715820312,4162.5639648438,4158.58984375,4165.0,4167.6923828125,4134.8715820312,4146.2822265625,4140.1284179688,4143.8461914062
4153.205078125,4160.1284179688,4152.9487304688,4153.9741210938,4160.1284179688,4160.1284179688,4160.7690429688,4163.3334960938,4165.8974609375,4167.3076171875,4140.1284179688,4145.0,4144.3588867188,4142.8203125
4157.3076171875,4165.2563476562,4155.2563476562,4157.6923828125,4161.794921875,4161.9228515625,4158.4614257812,4165.0,4165.384765625,4167.0512695312,4147.4360351562,4150.384765625,4144.7436523438,4146.9228515625
4158.9741210938,4167.5639648438,4156.9228515625,4162.9487304688,4162.8203125,4161.9228515625,4161.6665039062,4166.1538085938,4164.4873046875,4168.3334960938,4145.5126953125,4151.794921875,4140.1284179688,4148.8461914062
4144.3588867188,4158.205078125,4145.384765625,4156.5385742188,4161.41015625,4160.2563476562,4161.41015625,4163.4614257812,4165.7690429688,4169.3588867188,4120.8974609375,4132.3076171875,4118.7177734375,4134.3588867188
4139.4873046875,4153.4614257812,4141.9228515625,4154.1025390625,4162.9487304688,4162.6923828125,4163.3334960938,4165.6411132812,4167.6923828125,4167.6923828125,4108.8461914062,4123.0771484375,4106.9228515625,4132.6923828125
4154.615234375,4165.0,4152.8203125,4161.2822265625,4162.6923828125,4163.58984375,4164.4873046875,4168.205078125,4164.615234375,4167.3076171875,4133.3334960938,4141.6665039062,4134.615234375,4154.4873046875
4167.1796875,4176.2822265625,4157.4360351562,4164.2309570312,4161.1538085938,4163.205078125,4163.0771484375,4163.4614257812,4163.3334960938,4165.6411132812,4152.9487304688,4157.1796875,4162.4360351562,4161.0258789062
4159.7436523438,4169.1025390625,4153.58984375,4163.58984375,4163.9741210938,4163.7177734375,4165.1284179688,4164.7436523438,4164.8715820312,4163.0771484375,4140.8974609375,4147.4360351562,4150.5126953125,4147.5639648438
4143.0771484375,4151.2822265625,4146.1538085938,4159.4873046875,4162.1796875,4161.794921875,4161.6665039062,4165.5126953125,4161.0258789062,4165.5126953125,4130.7690429688,4133.9741210938,4134.2309570312,4136.41015625
4138.8461914062,4151.1538085938,4142.9487304688,4156.9228515625,4159.615234375,4163.3334960938,4162.8203125,4166.2822265625,4158.8461914062,4169.4873046875,4130.2563476562,4128.7177734375,4132.4360351562,4132.5639648438
4146.41015625,4164.4873046875,4145.8974609375,4161.5385742188,4160.7690429688,4163.8461914062,4166.41015625,4167.1796875,4163.3334960938,4168.8461914062,4129.1025390625,4131.0258789062,4131.1538085938,4135.6411132812
4148.0771484375,4165.8974609375,4151.0258789062,4165.2563476562,4161.9228515625,4161.0258789062,4162.0512695312,4164.1025390625,4166.41015625,4167.1796875,4138.3334960938,4139.4873046875,4139.2309570312,4139.8715820312
4144.7436523438,4157.3076171875,4151.6665039062,4162.0512695312,4164.8715820312,4164.1025390625,4163.8461914062,4166.2822265625,4164.615234375,4167.6923828125,4145.6411132812,4140.6411132812,4146.6665039062,4141.5385742188
4139.615234375,4151.0258789062,4141.6665039062,4155.7690429688,4161.2822265625,4162.5639648438,4162.6923828125,4163.4614257812,4163.9741210938,4166.5385742188,4131.2822265625,4131.0258789062,4135.2563476562,4136.9228515625
4133.9741210938,4150.0,4141.2822265625,4156.5385742188,4157.5639648438,4159.3588867188,4157.5639648438,4159.2309570312,4165.8974609375,4167.3076171875,4119.4873046875,4124.615234375,4130.0,4133.3334960938
4137.9487304688,4149.615234375,4151.794921875,4161.5385742188,4162.3076171875,4163.9741210938,4162.3076171875,4162.8203125,4165.1284179688,4169.1025390625,4136.794921875,4132.6923828125,4145.5126953125,4142.8203125
4143.205078125,4147.9487304688,4147.1796875,4155.2563476562,4160.5126953125,4163.0771484375,4164.3588867188,4162.9487304688,4162.4360351562,4167.8203125,4145.5126953125,4138.205078125,4145.5126953125,4143.4614257812
4142.5639648438,4151.5385742188,4143.0771484375,4151.5385742188,4158.7177734375,4161.5385742188,4163.4614257812,4161.5385742188,4164.8715820312,4167.9487304688,4131.2822265625,4132.8203125,4135.7690429688,4139.4873046875
4145.8974609375,4157.6923828125,4149.615234375,4157.8203125,4163.7177734375,4164.4873046875,4164.3588867188,4161.0258789062,4166.5385742188,4168.7177734375,4131.0258789062,4134.3588867188,4141.794921875,4145.2563476562
4143.58984375,4150.7690429688,4146.41015625,4154.4873046875,4164.2309570312,4162.4360351562,4162.4360351562,4161.1538085938,4162.6923828125,4167.6923828125,4136.5385742188,4134.7436523438,4141.794921875,4145.0
4121.1538085938,4127.4360351562,4130.1284179688,4140.0,4162.3076171875,4159.8715820312,4162.0512695312,4163.58984375,4163.7177734375,4167.6923828125,4112.8203125,4112.9487304688,4118.7177734375,4131.0258789062
4111.0258789062,4117.9487304688,4124.7436523438,4136.2822265625,4161.1538085938,4160.384765625,4162.1796875,4162.8203125,4166.2822265625,4168.8461914062,4094.2307128906,4099.8715820312,4107.3076171875,4126.9228515625
4140.0,4140.2563476562,4145.0,4149.4873046875,4162.3076171875,4162.3076171875,4163.3334960938,4164.615234375,4165.0,4169.8715820312,4123.0771484375,4128.7177734375,4135.6411132812,4150.384765625
4165.5126953125,4167.4360351562,4157.6923828125,4157.4360351562,4162.6923828125,4163.3334960938,4160.8974609375,4165.1284179688,4163.3334960938,4168.58984375,4151.6665039062,4152.4360351562,4159.615234375,4164.4873046875
4162.0512695312,4165.5126953125,4154.4873046875,4157.3076171875,4161.2822265625,4162.0512695312,4159.4873046875,4160.5126953125,4162.8203125,4167.1796875,4151.6665039062,4151.9228515625,4155.384765625,4155.0
4155.6411132812,4147.4360351562,4156.0258789062,4159.3588867188,4162.3076171875,4160.6411132812,4163.58984375,4162.6923828125,4165.384765625,4168.4614257812,4146.6665039062,4151.0258789062,4149.615234375,4152.4360351562
4161.0258789062,4151.9228515625,4157.3076171875,4157.9487304688,4161.41015625,4160.7690429688,4160.6411132812,4163.8461914062,4166.5385742188,4168.3334960938,4148.3334960938,4151.1538085938,4158.8461914062,4155.384765625
4165.6411132812,4168.4614257812,4159.615234375,4160.8974609375,4160.2563476562,4163.3334960938,4159.7436523438,4164.1025390625,4165.6411132812,4166.794921875,4153.4614257812,4153.58984375,4167.1796875,4156.9228515625
4159.2309570312,4160.384765625,4159.8715820312,4162.5639648438,4162.4360351562,4163.0771484375,4164.2309570312,4164.8715820312,4164.4873046875,4167.0512695312,4152.6923828125,4154.8715820312,4160.6411132812,4158.205078125
4154.615234375,4145.6411132812,4154.8715820312,4156.41015625,4164.615234375,4161.5385742188,4162.6923828125,4162.1796875,4165.0,4166.9228515625,4149.1025390625,4150.8974609375,4158.58984375,4156.6665039062
4159.8715820312,4155.5126953125,4155.5126953125,4155.384765625,4164.1025390625,4162.8203125,4162.0512695312,4164.1025390625,4165.0,4167.0512695312,4149.2309570312,4148.8461914062,4160.5126953125,4156.0258789062
4163.4614257812,4168.0771484375,4157.5639648438,4157.5639648438,4161.2822265625,4160.7690429688,4162.1796875,4164.2309570312,4163.3334960938,4167.9487304688,4151.0258789062,4153.58984375,4156.0258789062,4156.9228515625
4163.58984375,4162.9487304688,4159.7436523438,4159.8715820312,4162.1796875,4162.8203125,4163.205078125,4163.9741210938,4165.384765625,4167.8203125,4155.1284179688,4155.0,4161.6665039062,4160.1284179688
4158.205078125,4152.8203125,4154.615234375,4158.0771484375,4162.8203125,4165.2563476562,4164.2309570312,4165.1284179688,4167.3076171875,4166.41015625,4150.1284179688,4146.2822265625,4165.6411132812,4157.8203125
4148.205078125,4149.615234375,4142.0512695312,4150.384765625,4159.8715820312,4158.9741210938,4159.2309570312,4163.0771484375,4164.8715820312,4166.1538085938,4136.2822265625,4137.3076171875,4147.6923828125,4145.2563476562
4161.41015625,4161.5385742188,4152.8203125,4156.9228515625,4160.7690429688,4159.4873046875,4160.8974609375,4165.2563476562,4164.2309570312,4167.3076171875,4145.6411132812,4150.5126953125,4153.9741210938,4155.2563476562
4179.2309570312,4171.5385742188,4167.6923828125,4166.1538085938,4162.1796875,4163.8461914062,4162.1796875,4165.0,4164.3588867188,4169.3588867188,4164.3588867188,4169.8715820312,4177.4360351562,4170.0
4166.2822265625,4161.0258789062,4156.794921875,4158.4614257812,4162.0512695312,4161.5385742188,4158.4614257812,4162.6923828125,4162.6923828125,4169.8715820312,4155.5126953125,4160.2563476562,4160.2563476562,4154.615234375
4154.7436523438,4151.794921875,4151.0258789062,4152.9487304688,4163.58984375,4160.6411132812,4160.2563476562,4163.9741210938,4163.4614257812,4168.7177734375,4141.1538085938,4144.615234375,4142.1796875,4145.0
4161.2822265625,4156.5385742188,4157.6923828125,4155.384765625,4162.3076171875,4163.0771484375,4162.6923828125,4162.4360351562,4165.1284179688,4166.6665039062,4144.3588867188,4148.4614257812,4153.3334960938,4153.0771484375
4159.8715820312,4150.5126953125,4156.5385742188,4148.58984375,4163.0771484375,4164.2309570312,4165.384765625,4162.3076171875,4165.7690429688,4164.615234375,4156.794921875,4154.3588867188,4158.8461914062,4154.3588867188
4155.1284179688,4134.1025390625,4149.2309570312,4136.5385742188,4162.5639648438,4162.4360351562,4162.1796875,4163.58984375,4166.1538085938,4164.615234375,4174.1025390625,4155.0,4163.4614257812,4154.7436523438
4160.0,4134.7436523438,4150.384765625,4139.3588867188,4160.7690429688,4161.5385742188,4158.0771484375,4162.4360351562,4165.0,4166.2822265625,4183.58984375,4157.3076171875,4171.9228515625,4160.1284179688
4161.0258789062,4144.615234375,4156.6665039062,4147.6923828125,4164.8715820312,4163.7177734375,4163.4614257812,4162.5639648438,4166.0258789062,4168.205078125,4179.8715820312,4157.4360351562,4160.7690429688,4157.6923828125
4152.1796875,4140.5126953125,4153.205078125,4138.3334960938,4162.6923828125,4163.205078125,4165.2563476562,4161.1538085938,4166.9228515625,4166.5385742188,4172.6923828125,4151.41015625,4146.41015625,4146.2822265625
4144.8715820312,4130.8974609375,4150.1284179688,4131.6665039062,4159.615234375,4162.3076171875,4164.4873046875,4163.4614257812,4165.1284179688,4163.3334960938,4166.5385742188,4146.2822265625,4149.2309570312,4144.615234375
